"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Story Name : Check Quest","0","2","12","0","0"
"","","Story Name : Check On Landing Page","0","0","7","0","0"
"","","Story Name : Check On Home Page","0","4","9","0","0"
"","","Story Name : Check On History Page","0","4","0","0","0"
"","","Story Name : Check Purchase","0","21","34","0","0"
"","","Story Name : Check On SignUp Page","0","0","10","0","0"
"","","Story Name : Check Logout","0","0","3","0","0"
"","","Story Name : Check User Profile","2","1","11","0","0"
"","","Story Name : Check Login","0","2","10","0","0"
"","","Story Name : Check On Deals Page","0","0","6","0","0"
"","","Story Name : Check On Ruby Page","0","0","1","0","0"
"","","Story Name : Check On Point Page","0","0","1","0","0"
